state,district,crop,modal_price
Manipur,Bishnupur,Bengal Gram Dal (Chana Dal),9600
Manipur,Bishnupur,Cabbage,1300
Manipur,Bishnupur,Cauliflower,2500
Manipur,Bishnupur,Ginger(Green),4500
Manipur,Bishnupur,Masur Dal,7300
Manipur,Bishnupur,Onion,2500
Manipur,Bishnupur,Paddy(Dhan)(Common),2250
Manipur,Bishnupur,Potato,1000
Manipur,Bishnupur,Rice,3700
Manipur,Chandel,Banana,3000
Manipur,Chandel,Cabbage,1000
Manipur,Chandel,Cauliflower,2000
Manipur,Chandel,Dry Chillies,13300
Manipur,Chandel,Ginger(Green),3500
Manipur,Chandel,Masur Dal,7400
Manipur,Chandel,Onion,2500
Manipur,Chandel,Potato,1400
Manipur,Chandel,Rice,3500
Manipur,Imphal East,Banana,3500
Manipur,Imphal East,Cabbage,1500
Manipur,Imphal East,Cauliflower,2500
Manipur,Imphal East,Dry Chillies,15000
Manipur,Imphal East,Ginger(Green),5500
Manipur,Imphal East,Masur Dal,8200
Manipur,Imphal East,Onion,2500
Manipur,Imphal East,Paddy(Dhan)(Common),2500
Manipur,Imphal East,Potato,1000
Manipur,Imphal East,Rice,4100
Manipur,Imphal West,Banana,3500
Manipur,Imphal West,Bengal Gram Dal (Chana Dal),8000
Manipur,Imphal West,Cabbage,1500
Manipur,Imphal West,Cauliflower,2000
Manipur,Imphal West,Dry Chillies,15000
Manipur,Imphal West,Ginger(Green),3000
Manipur,Imphal West,Masur Dal,7000
Manipur,Imphal West,Onion,2500
Manipur,Imphal West,Paddy(Dhan)(Common),2250
Manipur,Imphal West,Potato,1500
Manipur,Imphal West,Rice,3800
Manipur,Thoubal,Banana,3500
Manipur,Thoubal,Bengal Gram Dal (Chana Dal),11000
Manipur,Thoubal,Cabbage,1000
Manipur,Thoubal,Cauliflower,2000
Manipur,Thoubal,Dry Chillies,14000
Manipur,Thoubal,Ginger(Green),5500
Manipur,Thoubal,Masur Dal,7500
Manipur,Thoubal,Onion,2000
Manipur,Thoubal,Paddy(Dhan)(Common),2375
Manipur,Thoubal,Potato,1000
Manipur,Thoubal,Rice,3900
Manipur,Thoubal,Turmeric (raw),2500
Meghalaya,East Khasi Hills,Arecanut(Betelnut/Supari),13500
Meghalaya,East Khasi Hills,Banana,4000
Meghalaya,East Khasi Hills,Betal Leaves,26500
Meghalaya,East Khasi Hills,Ginger(Dry),6500
Meghalaya,East Khasi Hills,Orange,4000
Meghalaya,East Khasi Hills,Pumpkin,1850
Nagaland,Mokokchung,Arecanut(Betelnut/Supari),1500
Nagaland,Mokokchung,Banana - Green,4200
Nagaland,Mokokchung,Cabbage,2300
Nagaland,Mokokchung,Ginger(Green),1700
Nagaland,Mokokchung,Leafy Vegetable,1700
Nagaland,Mokokchung,Turmeric (raw),1700
Odisha,Angul,Brinjal,500
Odisha,Angul,Brinjal,500
Odisha,Angul,Potato,800
Odisha,Balasore,Brinjal,1200
Odisha,Balasore,Cabbage,700
Odisha,Balasore,Garlic,5100
Odisha,Balasore,Ginger(Dry),7500
Odisha,Balasore,Onion,1100
Odisha,Balasore,Tomato,700
Odisha,Balasore,Cabbage,550
Odisha,Balasore,Carrot,1450
Odisha,Balasore,Garlic,2900
Odisha,Balasore,Tomato,600
Odisha,Bargarh,Paddy(Dhan)(Common),1750
Odisha,Dhenkanal,Banana - Green,2800
Odisha,Dhenkanal,Beans,2500
Odisha,Dhenkanal,Bhindi(Ladies Finger),3800
Odisha,Dhenkanal,Bitter gourd,4200
Odisha,Dhenkanal,Brinjal,1000
Odisha,Dhenkanal,Cucumbar(Kheera),2400
Odisha,Dhenkanal,Onion,1300
Odisha,Dhenkanal,Potato,900
Odisha,Dhenkanal,Pumpkin,1300
Odisha,Dhenkanal,Tomato,800
Odisha,Gajapati,Banana,3000
Odisha,Gajapati,Bhindi(Ladies Finger),3000
Odisha,Gajapati,Brinjal,1000
Odisha,Gajapati,Tomato,1200
Odisha,Gajapati,Water Melon,3000
Odisha,Gajapati,Banana,3000
Odisha,Gajapati,Coconut,1500
Odisha,Ganjam,Brinjal,1500
Odisha,Ganjam,Onion,1400
Odisha,Ganjam,Paddy(Dhan)(Common),1750
Odisha,Ganjam,Brinjal,3200
Odisha,Ganjam,Maize,1350
Odisha,Jharsuguda,Onion,1300
Odisha,Jharsuguda,Potato,900
Odisha,Mayurbhanja,Beans,2800
Odisha,Mayurbhanja,Bitter gourd,2800
Odisha,Mayurbhanja,Brinjal,700
Odisha,Mayurbhanja,Cabbage,600
Odisha,Mayurbhanja,Cauliflower,1500
Odisha,Mayurbhanja,Cucumbar(Kheera),3500
Odisha,Mayurbhanja,Leafy Vegetable,1500
Odisha,Mayurbhanja,Onion,1400
Odisha,Mayurbhanja,Potato,600
Odisha,Mayurbhanja,Rice,2200
Odisha,Mayurbhanja,Tomato,800
Odisha,Mayurbhanja,Bhindi(Ladies Finger),6500
Odisha,Mayurbhanja,Bitter gourd,7500
Odisha,Mayurbhanja,Brinjal,1400
Odisha,Mayurbhanja,Cabbage,700
Odisha,Mayurbhanja,Cauliflower,800
Odisha,Mayurbhanja,Pumpkin,1100
Odisha,Mayurbhanja,Tomato,800
Odisha,Nowarangpur,Broken Rice,1200
Odisha,Nowarangpur,Gur(Jaggery),2000
Odisha,Nowarangpur,Maize,1400
Odisha,Sundergarh,Banana - Green,4000
Odisha,Sundergarh,Bhindi(Ladies Finger),4000
Odisha,Sundergarh,Black Gram (Urd Beans)(Whole),9000
Odisha,Sundergarh,Black Gram (Urd Beans)(Whole),9000
Odisha,Sundergarh,Brinjal,2000
Odisha,Sundergarh,Cabbage,1000
Odisha,Sundergarh,Capsicum,4000
Odisha,Sundergarh,Carrot,1000
Odisha,Sundergarh,Cauliflower,1000
Odisha,Sundergarh,Cucumbar(Kheera),4000
Odisha,Sundergarh,French Beans (Frasbean),4000
Odisha,Sundergarh,Onion,1500
Odisha,Sundergarh,Onion,1500
Odisha,Sundergarh,Orange,8000
Odisha,Sundergarh,Orange,8000
Odisha,Sundergarh,Orange,8000
Odisha,Sundergarh,Paddy(Dhan)(Common),1790
Odisha,Sundergarh,Potato,1000
Odisha,Sundergarh,Rice,3000
Odisha,Sundergarh,Sugar,4000
Odisha,Sundergarh,Tomato,1000
Odisha,Sundergarh,Wheat,3000
Odisha,Sundergarh,Wheat Atta,3500
Odisha,Sundergarh,Brinjal,600
Odisha,Sundergarh,Cabbage,800
Odisha,Sundergarh,Cauliflower,900
Odisha,Sundergarh,Tomato,900
Pondicherry,Karaikal,Copra,9000
Pondicherry,Karaikal,Paddy(Dhan)(Common),1833
Pondicherry,Karaikal,Paddy(Dhan)(Common),1667
Pondicherry,Karaikal,Paddy(Dhan)(Common),1583
Pondicherry,Karaikal,Paddy(Dhan)(Common),1583
Pondicherry,Karaikal,Paddy(Dhan)(Common),1833
Pondicherry,Karaikal,"Sesamum(Sesame,Gingelly,Til)",10000
Punjab,Amritsar,Carrot,800
Punjab,Amritsar,Cauliflower,900
Punjab,Amritsar,Peas cod,800
Punjab,Amritsar,Carrot,800
Punjab,Barnala,Carrot,500
Punjab,Barnala,Cauliflower,500
Punjab,Barnala,Peas Wet,1500
Punjab,Barnala,Raddish,300
Punjab,Bhatinda,Onion,1500
Punjab,Bhatinda,Potato,450
Punjab,Gurdaspur,Cauliflower,700
Punjab,Gurdaspur,Peas cod,1000
Punjab,Gurdaspur,Turnip,700
Punjab,Gurdaspur,Brinjal,700
Punjab,Gurdaspur,Carrot,650
Punjab,Gurdaspur,Cauliflower,580
Punjab,Gurdaspur,Onion,850
Punjab,Gurdaspur,Peas Wet,700
Punjab,Gurdaspur,Potato,370
Punjab,Gurdaspur,Raddish,420
Punjab,Gurdaspur,Brinjal,1450
Punjab,Gurdaspur,Capsicum,2050
Punjab,Gurdaspur,Green Chilli,1500
Punjab,Hoshiarpur,Brinjal,2000
Punjab,Hoshiarpur,Cabbage,500
Punjab,Hoshiarpur,Capsicum,3000
Punjab,Hoshiarpur,Carrot,700
Punjab,Hoshiarpur,Cauliflower,800
Punjab,Hoshiarpur,Cucumbar(Kheera),2500
Punjab,Hoshiarpur,Field Pea,1500
Punjab,Hoshiarpur,Ginger(Green),7500
Punjab,Hoshiarpur,Grapes,5000
Punjab,Hoshiarpur,Grapes,3000
Punjab,Hoshiarpur,Green Chilli,5000
Punjab,Hoshiarpur,Kinnow,2000
Punjab,Hoshiarpur,Kinnow,1200
Punjab,Hoshiarpur,Kinnow,500
Punjab,Hoshiarpur,Onion,800
Punjab,Hoshiarpur,Papaya,1500
Punjab,Hoshiarpur,Potato,500
Punjab,Hoshiarpur,Raddish,600
Punjab,Hoshiarpur,Spinach,700
Punjab,Hoshiarpur,Tomato,2000
Punjab,Jalandhar,Amphophalus,2000
Punjab,Jalandhar,Bhindi(Ladies Finger),5000
Punjab,Jalandhar,Brinjal,2000
Punjab,Jalandhar,Cabbage,400
Punjab,Jalandhar,Capsicum,4000
Punjab,Jalandhar,Carrot,500
Punjab,Jalandhar,Cauliflower,700
Punjab,Jalandhar,Coriander(Leaves),1000
Punjab,Jalandhar,Cucumbar(Kheera),2500
Punjab,Jalandhar,Garlic,4000
Punjab,Jalandhar,Ginger(Green),7000
Punjab,Jalandhar,Green Chilli,5000
Punjab,Jalandhar,Kinnow,1200
Punjab,Jalandhar,Onion,800
Punjab,Jalandhar,Peas Wet,1500
Punjab,Jalandhar,Potato,500
Punjab,Jalandhar,Raddish,400
Punjab,Jalandhar,Spinach,900
Punjab,Jalandhar,Tomato,2500
Punjab,Jalandhar,Turnip,400
Punjab,Jalandhar,Cabbage,300
Punjab,Jalandhar,Carrot,300
Punjab,Jalandhar,Cauliflower,200
Punjab,Jalandhar,Peas Wet,800
Punjab,Jalandhar,Potato,400
Punjab,Jalandhar,Raddish,300
Punjab,Jalandhar,Spinach,300
Punjab,Jalandhar,Tomato,1400
Punjab,Jalandhar,Carrot,700
Punjab,Jalandhar,Cauliflower,700
Punjab,Jalandhar,Methi(Leaves),600
Punjab,Jalandhar,Raddish,500
Punjab,Jalandhar,Spinach,600
Punjab,Ludhiana,Carrot,700
Punjab,Ludhiana,Cauliflower,550
Punjab,Ludhiana,Green Chilli,3000
Punjab,Ludhiana,Onion,1000
Punjab,Ludhiana,Peas Wet,1250
Punjab,Ludhiana,Potato,350
Punjab,Ludhiana,Tomato,1500
Punjab,Ludhiana,Cabbage,500
Punjab,Ludhiana,Carrot,900
Punjab,Ludhiana,Cauliflower,900
Punjab,Ludhiana,Coriander(Leaves),1500
Punjab,Ludhiana,Green Chilli,5000
Punjab,Ludhiana,Methi(Leaves),1000
Punjab,Ludhiana,Peas Wet,1700
Punjab,Ludhiana,Potato,400
Punjab,Ludhiana,Raddish,250
Punjab,Ludhiana,Spinach,800
Punjab,Ludhiana,Tomato,2000
Punjab,Mansa,Banana,1500
Punjab,Mansa,Bhindi(Ladies Finger),3500
Punjab,Mansa,Brinjal,1100
Punjab,Mansa,Capsicum,2800
Punjab,Mansa,Carrot,500
Punjab,Mansa,Cauliflower,700
Punjab,Mansa,Cotton,5390
Punjab,Mansa,Cucumbar(Kheera),1800
Punjab,Mansa,Grapes,7000
Punjab,Mansa,Grapes,4500
Punjab,Mansa,Green Chilli,3000
Punjab,Mansa,Kinnow,1500
Punjab,Mansa,Onion,1200
Punjab,Mansa,Peas cod,1200
Punjab,Mansa,Potato,520
Punjab,Mansa,Tomato,2200
Punjab,Muktsar,Apple,5500
Punjab,Muktsar,Banana,1800
Punjab,Muktsar,Brinjal,1300
Punjab,Muktsar,Cabbage,400
Punjab,Muktsar,Carrot,500
Punjab,Muktsar,Cauliflower,500
Punjab,Muktsar,Chikoos(Sapota),3000
Punjab,Muktsar,Cotton,5500
Punjab,Muktsar,Cucumbar(Kheera),3500
Punjab,Muktsar,Ginger(Green),7500
Punjab,Muktsar,Gram Raw(Chholia),1000
Punjab,Muktsar,Grapes,8500
Punjab,Muktsar,Grapes,4500
Punjab,Muktsar,Green Chilli,2000
Punjab,Muktsar,Guava,2200
Punjab,Muktsar,Kinnow,1200
Punjab,Muktsar,Onion,700
Punjab,Muktsar,Onion Green,1200
Punjab,Muktsar,Peas cod,1200
Punjab,Muktsar,Pineapple,4000
Punjab,Muktsar,Pomegranate,6500
Punjab,Muktsar,Potato,550
Punjab,Muktsar,Raddish,500
Punjab,Muktsar,Spinach,600
Punjab,Muktsar,Tomato,2000
Punjab,Patiala,Brinjal,1500
Punjab,Patiala,Onion,1000
Punjab,Patiala,Carrot,600
Punjab,Patiala,Cauliflower,500
Punjab,Patiala,Ginger(Green),5500
Punjab,Patiala,Green Chilli,2500
Punjab,Patiala,Onion,850
Punjab,Patiala,Peas Wet,850
Punjab,Patiala,Potato,350
Punjab,Patiala,Tomato,1200
Punjab,Ropar (Rupnagar),Carrot,760
Punjab,Ropar (Rupnagar),Cucumbar(Kheera),1400
Punjab,Ropar (Rupnagar),Ginger(Green),7730
Punjab,Ropar (Rupnagar),Green Chilli,2640
Punjab,Ropar (Rupnagar),Onion,1020
Punjab,Ropar (Rupnagar),Peas Wet,1330
Punjab,Ropar (Rupnagar),Raddish,550
Punjab,Ropar (Rupnagar),Tomato,1500
Punjab,Tarntaran,Carrot,500
Punjab,Tarntaran,Cauliflower,400
Punjab,Tarntaran,Coriander(Leaves),400
Punjab,Tarntaran,Peas Wet,700
Punjab,Tarntaran,Raddish,400
Punjab,Tarntaran,Squash(Chappal Kadoo),1400
Punjab,Tarntaran,Apple,5500
Punjab,Tarntaran,Banana,900
Punjab,Tarntaran,Brinjal,900
Punjab,Tarntaran,Capsicum,2100
Punjab,Tarntaran,Carrot,700
Punjab,Tarntaran,Cauliflower,520
Punjab,Tarntaran,Coriander(Leaves),120
Punjab,Tarntaran,Cucumbar(Kheera),1800
Punjab,Tarntaran,Garlic,2200
Punjab,Tarntaran,Ginger(Dry),6500
Punjab,Tarntaran,Green Chilli,1400
Punjab,Tarntaran,Guava,2000
Punjab,Tarntaran,Kinnow,900
Punjab,Tarntaran,Leafy Vegetable,320
Punjab,Tarntaran,Onion,900
Punjab,Tarntaran,Papaya,1200
Punjab,Tarntaran,Peas Wet,1000
Punjab,Tarntaran,Potato,600
Punjab,Tarntaran,Raddish,350
Punjab,Tarntaran,Spinach,400
Punjab,Tarntaran,Tomato,1500
Rajasthan,Baran,Mustard,3443
Rajasthan,Barmer,Guar Seed(Cluster Beans Seed),4100
Rajasthan,Barmer,Moath Dal,4350
Rajasthan,Bikaner,Guar,4020
Rajasthan,Bikaner,Moath Dal,4285
Rajasthan,Chittorgarh,Wheat,1750
Rajasthan,Jalore,Banana,1900
Rajasthan,Jalore,Bhindi(Ladies Finger),3900
Rajasthan,Jalore,Bottle gourd,1100
Rajasthan,Jalore,Cabbage,900
Rajasthan,Jalore,Capsicum,2400
Rajasthan,Jalore,Carrot,900
Rajasthan,Jalore,Cauliflower,1100
Rajasthan,Jalore,Cucumbar(Kheera),2400
Rajasthan,Jalore,Ginger(Green),5900
Rajasthan,Jalore,Grapes,3400
Rajasthan,Jalore,Green Chilli,4400
Rajasthan,Jalore,Lemon,2400
Rajasthan,Jalore,Onion,700
Rajasthan,Jalore,Papaya,1400
Rajasthan,Jalore,Pomegranate,1500
Rajasthan,Jalore,Tomato,1500
Rajasthan,Jhalawar,Mustard,3613
Rajasthan,Jhalawar,Soyabean,3525
Rajasthan,Jhalawar,Wheat,1975
Rajasthan,Kota,Bengal Gram(Gram)(Whole),3550
Rajasthan,Kota,Corriander seed,4152
Rajasthan,Kota,Mustard,3128
Rajasthan,Kota,Soyabean,3615
Rajasthan,Kota,Wheat,1915
Rajasthan,Sikar,Bajra(Pearl Millet/Cumbu),1812
Rajasthan,Sikar,Bengal Gram(Gram)(Whole),3400
Rajasthan,Sikar,Ground Nut Seed,3500
Rajasthan,Sikar,Guar Seed(Cluster Beans Seed),3875
Rajasthan,Sikar,Guar,4050
Rajasthan,Tonk,Bajra(Pearl Millet/Cumbu),1740
Rajasthan,Tonk,Maize,1875
Rajasthan,Tonk,Mustard,3350
Rajasthan,Tonk,Taramira,3256
Rajasthan,Tonk,Wheat,1878
Rajasthan,Tonk,Black Gram (Urd Beans)(Whole),2700
Tamil Nadu,Coimbatore,Coconut,2900
Tamil Nadu,Coimbatore,Tobacco,3100
Tamil Nadu,Coimbatore,Turmeric,6300
Tamil Nadu,Coimbatore,Coconut,2500
Tamil Nadu,Coimbatore,Coconut,3100
Tamil Nadu,Coimbatore,Copra,10275
Tamil Nadu,Coimbatore,Maize,1925
Tamil Nadu,Coimbatore,Paddy(Dhan)(Common),1700
Tamil Nadu,Coimbatore,Coconut,3150
Tamil Nadu,Coimbatore,Coconut,2140
Tamil Nadu,Coimbatore,Copra,9500
Tamil Nadu,Coimbatore,Maize,1850
Tamil Nadu,Coimbatore,Coconut,2720
Tamil Nadu,Coimbatore,Coconut,2400
Tamil Nadu,Coimbatore,Coconut,2270
Tamil Nadu,Coimbatore,Coconut,2800
Tamil Nadu,Coimbatore,Groundnut,5100
Tamil Nadu,Coimbatore,Coconut,2800
Tamil Nadu,Coimbatore,Coconut,2750
Tamil Nadu,Coimbatore,Copra,9350
Tamil Nadu,Coimbatore,Maize,1850
Tamil Nadu,Cuddalore,Black Gram (Urd Beans)(Whole),4789
Tamil Nadu,Cuddalore,Groundnut,7034
Tamil Nadu,Cuddalore,Paddy(Dhan)(Common),1500
Tamil Nadu,Cuddalore,Paddy(Dhan)(Common),1616
Tamil Nadu,Cuddalore,Paddy(Dhan)(Common),1407
Tamil Nadu,Cuddalore,Black Gram (Urd Beans)(Whole),4706
Tamil Nadu,Cuddalore,Groundnut,7036
Tamil Nadu,Dharmapuri,Tamarind Fruit,6000
Tamil Nadu,Dharmapuri,Coconut Seed,1200
Tamil Nadu,Dharmapuri,Cotton,5600
Tamil Nadu,Dharmapuri,Tamarind Fruit,5900
Tamil Nadu,Dharmapuri,Coconut Seed,1200
Tamil Nadu,Dharmapuri,Groundnut,5000
Tamil Nadu,Dindigul,Coconut,1600
Tamil Nadu,Dindigul,Maize,1600
Tamil Nadu,Dindigul,Coconut,1650
Tamil Nadu,Erode,Coconut,3000
Tamil Nadu,Erode,Coconut,2870
Tamil Nadu,Erode,Coconut,2935
Tamil Nadu,Erode,Copra,10195
Tamil Nadu,Erode,"Sesamum(Sesame,Gingelly,Til)",14509
Tamil Nadu,Erode,"Sesamum(Sesame,Gingelly,Til)",11681
Tamil Nadu,Erode,Coconut,2530
Tamil Nadu,Erode,Coconut,3225
Tamil Nadu,Erode,Copra,8845
Tamil Nadu,Kancheepuram,Paddy(Dhan)(Common),1420
Tamil Nadu,Kancheepuram,Paddy(Dhan)(Common),1560
Tamil Nadu,Kancheepuram,Paddy(Dhan)(Common),1550
Tamil Nadu,Kancheepuram,Paddy(Dhan)(Common),1350
Tamil Nadu,Kancheepuram,Paddy(Dhan)(Common),1420
Tamil Nadu,Kancheepuram,Paddy(Dhan)(Common),1560
Tamil Nadu,Kancheepuram,Paddy(Dhan)(Common),1550
Tamil Nadu,Kancheepuram,Paddy(Dhan)(Common),1560
Tamil Nadu,Kancheepuram,Paddy(Dhan)(Common),1404
Tamil Nadu,Krishnagiri,Coconut Seed,1800
Tamil Nadu,Krishnagiri,Coconut Seed,1950
Tamil Nadu,Krishnagiri,Coconut Seed,1950
Tamil Nadu,Krishnagiri,Cotton,5700
Tamil Nadu,Madurai,Coconut,1750
Tamil Nadu,Madurai,Paddy(Dhan)(Common),1820
Tamil Nadu,Madurai,Paddy(Dhan)(Common),1840
Tamil Nadu,Madurai,"Sesamum(Sesame,Gingelly,Til)",7100
Tamil Nadu,Madurai,Cotton,4250
Tamil Nadu,Madurai,Cotton,4000
Tamil Nadu,Madurai,Jowar(Sorghum),2150
Tamil Nadu,Madurai,Paddy(Dhan)(Common),1850
Tamil Nadu,Madurai,Paddy(Dhan)(Common),2450
Tamil Nadu,Nagercoil (Kannyiakumari),Cashewnuts,10500
Tamil Nadu,Namakkal,Turmeric,5740
Tamil Nadu,Namakkal,Turmeric,6800
Tamil Nadu,Namakkal,Copra,8400
Tamil Nadu,Namakkal,Copra,9450
Tamil Nadu,Namakkal,Turmeric,6950
Tamil Nadu,Namakkal,Turmeric,8000
Tamil Nadu,Namakkal,Coconut,2350
Tamil Nadu,Ramanathapuram,Paddy(Dhan)(Common),1810
Tamil Nadu,Salem,Copra,9700
Tamil Nadu,Salem,Tapioca,220
Tamil Nadu,Salem,Cotton,5650
Tamil Nadu,Salem,Coconut,2210
Tamil Nadu,Salem,Cotton,4800
Tamil Nadu,Salem,Cotton,5200
Tamil Nadu,Salem,Coconut,1280
Tamil Nadu,Salem,Turmeric,7120
Tamil Nadu,Salem,Maize,1840
Tamil Nadu,Salem,Cotton,5625
Tamil Nadu,Salem,Coconut,2310
Tamil Nadu,Sivaganga,Coconut,950
Tamil Nadu,Thanjavur,Paddy(Dhan)(Common),2000
Tamil Nadu,Thanjavur,Paddy(Dhan)(Common),1780
Tamil Nadu,Thanjavur,Paddy(Dhan)(Common),1780
Tamil Nadu,Thanjavur,Paddy(Dhan)(Common),1780
Tamil Nadu,Thanjavur,Paddy(Dhan)(Common),2250
Tamil Nadu,Thanjavur,Paddy(Dhan)(Common),1850
Tamil Nadu,Thanjavur,Paddy(Dhan)(Common),1950
Tamil Nadu,Thiruvannamalai,Groundnut,6620
Tamil Nadu,Thiruvannamalai,Paddy(Dhan)(Common),1356
Tamil Nadu,Thiruvannamalai,Paddy(Dhan)(Common),1448
Tamil Nadu,Vellore,Paddy(Dhan)(Common),1426
Tamil Nadu,Vellore,Paddy(Dhan)(Common),1298
Tamil Nadu,Vellore,Paddy(Dhan)(Common),1485
Tamil Nadu,Vellore,Paddy(Dhan)(Common),1453
Tamil Nadu,Vellore,Paddy(Dhan)(Common),1430
Tamil Nadu,Vellore,Black Gram (Urd Beans)(Whole),4715
Tamil Nadu,Vellore,Copra,9300
Tamil Nadu,Vellore,Cowpea (Lobia/Karamani),4550
Tamil Nadu,Vellore,Groundnut,7361
Tamil Nadu,Vellore,Kulthi(Horse Gram),2881
Tamil Nadu,Vellore,Maize,2210
Tamil Nadu,Vellore,Paddy(Dhan)(Common),1400
Tamil Nadu,Vellore,Paddy(Dhan)(Common),1652
Tamil Nadu,Vellore,Ragi (Finger Millet),2640
Tamil Nadu,Vellore,Tamarind Fruit,10100
Tamil Nadu,Villupuram,Black Gram (Urd Beans)(Whole),4792
Tamil Nadu,Villupuram,Green Gram (Moong)(Whole),5062
Tamil Nadu,Villupuram,Groundnut,6961
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1453
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),2019
Tamil Nadu,Villupuram,Black Gram (Urd Beans)(Whole),4870
Tamil Nadu,Villupuram,Maize,1900
Tamil Nadu,Villupuram,"Sesamum(Sesame,Gingelly,Til)",9350
Tamil Nadu,Villupuram,Black Gram (Urd Beans)(Whole),4824
Tamil Nadu,Villupuram,Cotton,4595
Tamil Nadu,Villupuram,Green Gram (Moong)(Whole),5140
Tamil Nadu,Villupuram,Groundnut,6524
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1700
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),2506
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1451
Tamil Nadu,Villupuram,Ragi (Finger Millet),2420
Tamil Nadu,Villupuram,"Sesamum(Sesame,Gingelly,Til)",11049
Tamil Nadu,Villupuram,T.V. Cumbu,1851
Tamil Nadu,Villupuram,Black Gram (Urd Beans)(Whole),4866
Tamil Nadu,Villupuram,Gingelly Oil,10649
Tamil Nadu,Villupuram,Green Gram (Moong)(Whole),4302
Tamil Nadu,Villupuram,Groundnut,6886
Tamil Nadu,Villupuram,Kodo Millet(Varagu),1989
Tamil Nadu,Villupuram,Maize,1849
Tamil Nadu,Villupuram,Ragi (Finger Millet),2599
Tamil Nadu,Villupuram,T.V. Cumbu,2029
Tamil Nadu,Villupuram,Black Gram (Urd Beans)(Whole),4811
Tamil Nadu,Villupuram,Green Gram (Moong)(Whole),3539
Tamil Nadu,Villupuram,Hybrid Cumbu,1948
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1355
Tamil Nadu,Villupuram,Ragi (Finger Millet),2312
Tamil Nadu,Villupuram,"Sesamum(Sesame,Gingelly,Til)",10181
Tamil Nadu,Villupuram,Black Gram (Urd Beans)(Whole),4802
Tamil Nadu,Villupuram,Groundnut,4080
Tamil Nadu,Villupuram,Kulthi(Horse Gram),2630
Tamil Nadu,Villupuram,Maize,2029
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1789
Tamil Nadu,Villupuram,Ragi (Finger Millet),1180
Tamil Nadu,Villupuram,"Sesamum(Sesame,Gingelly,Til)",9391
Tamil Nadu,Villupuram,Groundnut,6724
Tamil Nadu,Villupuram,Hybrid Cumbu,2222
Tamil Nadu,Villupuram,Karamani,6263
Tamil Nadu,Villupuram,Ragi (Finger Millet),2400
Tamil Nadu,Villupuram,"Sesamum(Sesame,Gingelly,Til)",11261
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1376
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1395
Tamil Nadu,Villupuram,Black Gram (Urd Beans)(Whole),4779
Tamil Nadu,Villupuram,Cotton,4896
Tamil Nadu,Villupuram,Green Gram (Moong)(Whole),5209
Tamil Nadu,Villupuram,Groundnut,5555
Tamil Nadu,Villupuram,Hybrid Cumbu,1825
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1420
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1515
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1715
Tamil Nadu,Villupuram,Ragi (Finger Millet),2579
Tamil Nadu,Villupuram,"Sesamum(Sesame,Gingelly,Til)",10049
Tamil Nadu,Villupuram,Thinai (Italian Millet),1205
Tamil Nadu,Villupuram,Black Gram (Urd Beans)(Whole),2619
Tamil Nadu,Villupuram,Green Gram (Moong)(Whole),5109
Tamil Nadu,Villupuram,Groundnut,6584
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1424
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1431
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1643
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1420
Tamil Nadu,Villupuram,Paddy(Dhan)(Common),1655
Tamil Nadu,Villupuram,"Sesamum(Sesame,Gingelly,Til)",11124
Tamil Nadu,Villupuram,T.V. Cumbu,1969
Tamil Nadu,Virudhunagar,Paddy(Dhan)(Common),1700
Tamil Nadu,Virudhunagar,Paddy(Dhan)(Common),1775
Telangana,Hyderabad,Dry Chillies,7000
Telangana,Hyderabad,Dry Chillies,4000
Telangana,Karimnagar,Cotton,6000
Telangana,Karimnagar,Mustard,4255
Telangana,Karimnagar,Cotton,5200
Telangana,Khammam,Wood,440
Telangana,Nalgonda,Paddy(Dhan)(Common),1750
Telangana,Nalgonda,Paddy(Dhan)(Common),1770
Telangana,Nalgonda,Paddy(Dhan)(Common),1770
Telangana,Nizamabad,Paddy(Dhan)(Common),1750
Telangana,Ranga Reddy,Brinjal,300
Telangana,Ranga Reddy,Cabbage,500
Telangana,Ranga Reddy,Cauliflower,650
Telangana,Ranga Reddy,Green Chilli,1200
Telangana,Ranga Reddy,Tomato,300
Tripura,North Tripura,Masur Dal,8500
Tripura,North Tripura,Rice,2600
Tripura,Sepahijala,Bitter gourd,7000
Tripura,Sepahijala,Brinjal,2000
Tripura,Sepahijala,Cabbage,900
Tripura,Sepahijala,Cauliflower,3000
Tripura,Sepahijala,Cucumbar(Kheera),4000
Tripura,Sepahijala,Green Chilli,6500
Tripura,Sepahijala,Papaya (Raw),1800
Tripura,Sepahijala,Bitter gourd,7000
